video_code,author,source_URL,license,length_s,language_free,anxiety,compassion,contempt,despair,disgust,fascination,fear,guilt,indifference,irritation,joy,no_emotion,pride,rage,sadness,satisfaction,shame,surprise,entropy,modal_emotion,valence,arousal,valence_wsd,arousal_wsd
VID_102,Amy Saville,https://www.youtube.com/watch?v=xUVZe-tq29Y,CC-BY 3.0,50,TRUE,158,0,0,0,0,18,263,0,158,0,53,0,0,0,0,0,0,351,646,surprise,-451,789,424,564
VID_103,Amy Saville,https://www.youtube.com/watch?v=xUVZe-tq29Y,CC-BY 3.0,40,FALSE,237,17,0,0,0,51,288,0,254,0,0,34,0,0,0,17,0,102,563,fear,-226,398,297,683
VID_104,Hour_ Oudom,https://www.youtube.com/watch?v=y-O6E5U1MMk,CC-BY 3.0,56,TRUE,471,0,0,0,0,137,255,0,118,0.02,0,0,0,0,0,0,0,0,717,anxiety,-0.51,721,277,524
VID_106,JC5 Productions,https://www.youtube.com/watch?v=8LYplnecFog,CC-BY 3.0,51,FALSE,322,0,0,0,0,34,424,0,85,0,17,0,0,0,0,0,0,119,677,fear,-565,954,356,443
VID_108,NoGravity Media,https://www.youtube.com/watch?v=K2VVGI0F8a4,CC-BY 3.0,33,TRUE,404,0,0,0,18,35,193,0,211,18,0,18,0,18,35,0,0,53,514,anxiety,-722,607,0.47,579
VID_109,stargirl,https://www.youtube.com/watch?v=FN60fhzA5YE,CC-BY 3.0,52,FALSE,136,0,17,0,0,34,119,0,186,34,68,17,0,0,0,0,0,0.39,517,surprise,-289,398,318,559
VID_110,Watson Brothers,https://www.youtube.com/watch?v=aG1735sIDWs,CC-BY 3.0,57,FALSE,121,15,0,0,0,61,197,0,197,0.03,61,0,0,0,0,0,15,303,504,surprise,-188,536,348,685
VID_111,Andreas A,https://www.youtube.com/watch?v=LVlJaBHPIVg,CC-BY 3.0,55,FALSE,582,0,0,0,0,109,164,0,36,0,0,55,0,18,0,18,0,18,625,anxiety,-236,726,254,348
VID_112,FrostedMiniFears,https://www.youtube.com/watch?v=I_3nI0oWFmQ,CC-BY 3.0,55,FALSE,357,0,0,0,0,179,179,0,196,0,18,54,0,0,0,0,0,18,606,anxiety,-253,375,323,624
VID_113,JC5 Productions,https://www.youtube.com/watch?v=IJFp8dmJxPk,CC-BY 3.0,60,TRUE,385,0,0,0,0,46,292,0,169,46,15,15,0,0,0,0,15,15,569,anxiety,-482,697,338,664
VID_114,Fat Loot,https://www.youtube.com/watch?v=lnTITfoFjZk,CC-BY 3.0,53,FALSE,361,0,0,0,0,115,148,0,197,16,16,0,0,0,0,0,0,148,599,anxiety,-322,454,324,572
VID_115,Fat Loot,https://www.youtube.com/watch?v=lnTITfoFjZk,CC-BY 3.0,23,TRUE,312,0,0,0,0,62,396,0,104,42,0,21,0,0,0,0,0,62,614,fear,-0.43,712,374,424
VID_116,Sinan Chevik,https://www.youtube.com/watch?v=D1QqAi60dGI,CC-BY 3.0,59,FALSE,456,0,0,35,18,0,263,0,0,88,0,18,0,18,0.07,0,0,35,561,anxiety,-1392,1461,305,395
VID_117,Adrian Huff,https://www.youtube.com/watch?v=xBqt_ZCqc1Y,CC-BY 3.0,48,TRUE,0.4,0,18,0,0,91,327,0,91,0,0,36,0,0,0,18,0,18,0.6,anxiety,-374,701,355,455
VID_118,Rachel Star Withers,https://www.youtube.com/watch?v=j9Om78ssT6U,CC-BY 3.0,38,FALSE,397,0,0,0,0,32,302,0,79,111,16,0,0,0,0,0,0,63,617,anxiety,-778,805,315,641
VID_119,Adrian Huff,https://www.youtube.com/watch?v=tlfyGTx8U4U,CC-BY 3.0,32,TRUE,298,0,0,0,0,35,351,0,123,18,18,18,0,0,0,0,0,0.14,585,fear,-403,587,368,556
VID_120,Joe Jackson,https://www.youtube.com/watch?v=Tu3q4W0-TvM,CC-BY 3.0,61,TRUE,127,0,0,0,436,91,236,0,91,0,0,0,0,0,0,0,0,18,653,disgust,-885,652,387,503
VID_121,Vanguard Studios Entertainment,https://www.youtube.com/watch?v=LYKyhQoJhI0,CC-BY 3.0,60,TRUE,415,0,0,0,0,0,434,0,57,0,57,0,0,0,0,19,0,19,714,fear,-0.57,936,352,492
VID_122,TOTAL JAPAN,https://www.youtube.com/watch?v=a6ckakejwG0,CC-BY 3.0,23,TRUE,121,0,0,0,17,0,379,0,52,34,0,0,0,17,17,0,0,362,0.61,fear,-753,1082,363,495
