Video_ID,Action_description,POV,Gender,V_M_Tot,V_SD_Tot,A_M_Tot,A_SD_Tot,V_M_Fem,V_SD_Fem,V_M_Mal,V_SD_Mal,A_M_Fem,A_SD_Fem,A_M_Mal,A_SD_Mal
1_F_001,Poisoning a person,1,F,2.3278688524590163,1.9809199165657845,5.811320754716981,2.6678758748486446,2.064516129032258,1.9137308043185828,2.6,2.0443361623831797,5.346153846153846,2.4810047592426367,6.2592592592592595,2.8092237169257084
1_M_001,Poisoning a person,1,M,2.5961538461538463,1.992728107193905,6,2.695675549220764,2.5384615384615383,2.024465741488736,2.6538461538461537,1.9988458208137554,6.645161290322581,2.537037473074638,5.333333333333333,2.73336136795267
3_F_001,Poisoning a person,3,F,2.2586206896551726,1.5956117984943121,6.714285714285714,2.2540007720760618,1.96875,1.3316101095557091,2.6153846153846154,1.8347081092516724,6.607142857142857,2.362347948691688,6.821428571428571,2.1782352936973997
3_M_001,Poisoning a person,3,M,2.075,1.4212219372328148,6.222222222222222,2.504476279323035,1.8095238095238095,1.2891488517253398,2.3684210526315788,1.5351629054269225,7.125,1.9797360527882695,5.290322580645161,2.673244575256777
1_F_002,Kicking something ,1,F,2.8448275862068964,1.7147627746311553,5.25,2.4954504056928735,2.40625,1.5628628610919912,3.3846153846153846,1.7680932798226017,5.714285714285714,2.241975697115164,4.785714285714286,2.685449722418986
1_M_002,Kicking something ,1,M,2.45,2.5313419973785263,7.142857142857143,2.277924514150085,2.238095238095238,2.5080821737886083,2.6842105263157894,2.604539447002896,7.71875,1.9713164915044512,6.548387096774194,2.4472938752483238
3_F_002,Kicking something ,3,F,2.5081967213114753,1.822296635381409,5.509433962264151,2.539099185427731,2.7096774193548385,1.952665671794957,2.3,1.6846159902134252,5.461538461538462,2.1768007576398762,5.555555555555555,2.8867513459481287
3_M_002,Kicking something ,3,M,1.8076923076923077,1.4285391075852465,6.131147540983607,2.837107739912049,1.9615384615384615,1.4277470148669682,1.6538461538461537,1.4406195248519351,6.838709677419355,2.5442323556565927,5.4,2.978080844644984
1_F_003,Slapping someone ,1,F,3.2884615384615383,1.8506653648375633,5.39344262295082,2.451385244608921,2.8461538461538463,1.5922891117459215,3.730769230769231,2.011122916336887,6.290322580645161,2.3550449165864733,4.466666666666667,2.2242136670701425
1_M_003,Slapping someone ,1,M,1.7413793103448276,1.1012010162367811,7.107142857142857,2.1631506603148973,1.46875,0.9498514315067824,2.076923076923077,1.1974331521409258,6.964285714285714,2.47179860825844,7.25,1.838376900863811
3_F_003,Slapping someone ,3,F,3.575,2.352167576447798,5.0476190476190474,2.4125249216735263,3.4285714285714284,2.336052836975837,3.736842105263158,2.4230858485080065,5.625,2.536825549967467,4.451612903225806,2.1577567004865545
3_M_003,Slapping someone ,3,M,2.5901639344262297,2.3193177817361716,6.811320754716981,2.3374592038692916,2.2903225806451615,2.438490631341401,2.9,2.186951901777827,6.576923076923077,2.4685716829466697,7.037037037037037,2.227131329785912
1_F_004,Stealing from someone,1,F,2.6379310344827585,1.898275079081551,5.785714285714286,2.674555430954227,2.34375,1.9936896416184677,3,1.7435595774162693,6.071428571428571,2.7206830763829153,5.5,2.6457513110645907
1_M_004,Stealing from someone,1,M,2.025,1.476091512693625,5.666666666666667,2.2930469938771494,1.7142857142857142,1.0555973258234952,2.3684210526315788,1.8015587792486036,6.71875,2.0515041688572584,4.580645161290323,2.029354471227851
3_F_004,Stealing from someone,3,F,2.7540983606557377,1.9634640961399323,6.943396226415095,2.05140753123709,2.6451612903225805,2.184008350056904,2.8666666666666667,1.736689941821219,6.6923076923076925,2.015325894623115,7.185185185185185,2.0946275056592736
3_M_004,Stealing from someone,3,M,3.5,2.173819264814449,5.655737704918033,2.8277508488882073,3.4615384615384617,2.249102385055322,3.5384615384615383,2.139733987780149,6.548387096774194,2.4878197908666855,4.733333333333333,2.899861272940285
1_F_005,Drawing a swastika,1,F,2.5,1.6675436289302792,4.660714285714286,2.4883494764367637,2.15625,1.5050318826330342,2.923076923076923,1.7871335019651313,4.535714285714286,2.700920869809692,4.785714285714286,2.2990681342044397
1_M_005,Drawing a swastika,1,M,3.1,2.7155770978484437,5.063492063492063,2.6388720456519095,2.380952380952381,2.290768222151479,3.8947368421052633,2.9794618612185895,5.46875,2.590109911729367,4.645161290322581,2.6651877619506688
3_F_005,Drawing a swastika,3,F,2.0655737704918034,1.0934479481441017,5.528301886792453,3.0293676262223546,1.967741935483871,1.048296108541282,2.1666666666666665,1.1472105098991154,6.038461538461538,2.7925725663734395,5.037037037037037,3.216322332218794
3_M_005,Drawing a swastika,3,M,2.326923076923077,1.7901818709901292,5.098360655737705,3.0094568614773154,2.730769230769231,2.0699312511809143,1.9230769230769231,1.3834182859302364,6.032258064516129,2.8807854365056063,4.133333333333334,2.8735816091365525
1_F_006,Being threatened with a knife,1,F,2.0517241379310347,1.6267761013638422,6.964285714285714,2.303864624450015,1.5625,1.0140146973548327,2.6538461538461537,2.018758186456371,7.107142857142857,2.096545407450705,6.821428571428571,2.524745259296198
1_M_006,Being threatened with a knife,1,M,2.725,2.160098525768128,6.317460317460317,2.395058062636457,2.9047619047619047,2.6439508676365735,2.526315789473684,1.5043795713638373,7.3125,2.070335799473275,5.290322580645161,2.2977314665715656
3_F_006,Being threatened with a knife,3,F,1.7868852459016393,1.4957133649016294,7.037735849056604,2.3284384347169356,1.5483870967741935,1.4569079055181526,2.033333333333333,1.5196036990935664,6.730769230769231,2.569944626760542,7.333333333333333,2.0754980866510833
3_M_006,Being threatened with a knife,3,M,2.5384615384615383,1.9947139798068299,6.131147540983607,2.901007927347928,2.6538461538461537,2.096517258546806,2.423076923076923,1.9219381243542035,7.096774193548387,2.521307051374709,5.133333333333334,2.968028874909887
1_F_007,Being kidnapped,1,F,2.55,2.1357758453401567,6.650793650793651,2.4040203568372855,2.2857142857142856,2.101020160371079,2.8421052631578947,2.192491173040304,7.15625,2.329465880909738,6.129032258064516,2.4047444144700143
1_M_007,Being kidnapped,1,M,2.4098360655737703,1.8918866172891007,5.9245283018867925,2.3357510454453365,2.129032258064516,1.727077212786021,2.7,2.0367316617730884,5.730769230769231,2.458579952862096,6.111111111111111,2.2417941532712193
3_F_007,Being kidnapped,3,F,1.8461538461538463,1.5388385661693091,6.409836065573771,2.7891279950331427,2,1.7435595774162693,1.6923076923076923,1.3196736193235286,7.387096774193548,2.417676837445935,5.4,2.8235463150271594
3_M_007,Being kidnapped,3,M,2.3793103448275863,1.6840592793551938,6.089285714285714,2.546132794610723,2.15625,1.4167061980569235,2.6538461538461537,1.95841380085635,6.392857142857143,2.6435005651777788,5.785714285714286,2.4548839130303137
1_F_008,Being scared,1,F,2.825,2.0240540683971044,5.825396825396825,2.511519797817344,2.142857142857143,1.740279123753264,3.5789473684210527,2.090076805438398,6.625,2.587189283198424,5,2.1756225162774294
1_M_008,Being scared,1,M,3.3114754098360657,2.1411911296173245,5.886792452830188,2.3341970894184656,3.096774193548387,2.2413513588856375,3.533333333333333,2.046583921349534,5.6923076923076925,2.1310885625751133,6.074074074074074,2.5408345982846767
3_F_008,Being scared,3,F,3.1538461538461537,2.226265803278589,5.590163934426229,2.5388780276618768,3.269230769230769,2.458579952862096,3.0384615384615383,2.009592381171251,6.419354838709677,2.4051915176465966,4.733333333333333,2.4202213254923226
