format_version,questionnaire_id,questionnaire_version,title,language,instructions,attribution,item_id,prompt,required,subscale,option_id,option_label,score_value
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f01,"Wenn ich angespannt bin, merke ich, wo in meinem Körper die Anspannung auftritt.",true,Bemerken,o0,Nie,0
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f01,"Wenn ich angespannt bin, merke ich, wo in meinem Körper die Anspannung auftritt.",true,Bemerken,o1,1,1
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f01,"Wenn ich angespannt bin, merke ich, wo in meinem Körper die Anspannung auftritt.",true,Bemerken,o2,2,2
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f01,"Wenn ich angespannt bin, merke ich, wo in meinem Körper die Anspannung auftritt.",true,Bemerken,o3,3,3
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f01,"Wenn ich angespannt bin, merke ich, wo in meinem Körper die Anspannung auftritt.",true,Bemerken,o4,4,4
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f01,"Wenn ich angespannt bin, merke ich, wo in meinem Körper die Anspannung auftritt.",true,Bemerken,o5,Immer,5
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f02,"Ich merke es, wenn ich mich in meinem Körper nicht wohlfühle.",true,Bemerken,o0,Nie,0
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f02,"Ich merke es, wenn ich mich in meinem Körper nicht wohlfühle.",true,Bemerken,o1,1,1
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f02,"Ich merke es, wenn ich mich in meinem Körper nicht wohlfühle.",true,Bemerken,o2,2,2
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f02,"Ich merke es, wenn ich mich in meinem Körper nicht wohlfühle.",true,Bemerken,o3,3,3
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f02,"Ich merke es, wenn ich mich in meinem Körper nicht wohlfühle.",true,Bemerken,o4,4,4
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f02,"Ich merke es, wenn ich mich in meinem Körper nicht wohlfühle.",true,Bemerken,o5,Immer,5
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f03,"Ich merke, wo in meinem Körper ich mich wohlfühle.",true,Bemerken,o0,Nie,0
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f03,"Ich merke, wo in meinem Körper ich mich wohlfühle.",true,Bemerken,o1,1,1
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f03,"Ich merke, wo in meinem Körper ich mich wohlfühle.",true,Bemerken,o2,2,2
questionnaire-csv-v1,maia-2-de,2 (2018),"Multidimensional Assessment of Interoceptive Awareness, Version 2 (MAIA-2)",de,"Unten finden Sie eine Liste von Aussagen. Geben Sie bitte für jede der folgenden Aussagen an, wie oft sie generell im täglichen Leben auf Sie zutrifft. Kreisen Sie in jeder Reihe eine Zahl ein.","MAIA-2 © 2018 University of California, San Francisco. Nutzung gemäß den Bedingungen auf Seite 2 des offiziellen deutschen Fragebogens: https://osher.ucsf.edu/sites/osher.ucsf.edu/files/inline-files/MAIA-2_German.pdf. Zitation: Mehling WE et al. (2018), PLoS ONE 13(12): e0208034, https://doi.org/10.1371/journal.pone.0208034. Übersetzung von MAIA-2 in Kooperation mit Wolf E. Mehling (basierend auf der dt. Erstversion von Boris Bornemann, Max-Planck-Institut, Leipzig, Dezember 2012): Michael Eggart. Referenzierte Spezifikation AffectTracker2D - Specifications.docx, SHA-256 7402c80c6da71d4a11543676acdf0a7640cdb842d55afc10dde6ad3d4978fdbe.",f03,"Ich merke, wo in meinem Körper ich mich wohlfühle.",true,Bemerken,o3,3,3
